gender,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,connectedToFacebook,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city
1,22,26,13894,317,1,1,0,0,0,0,1,0,0,1,0,0,0,Riggisberg
1,22,10,13420,926,1,0,0,0,0,0,1,0,0,1,0,0,0,Ehrendingen
1,23,15,34282,2135,1,1,1,0,0,0,2,0,0,1,0,0,0,Zürich
1,23,4,8938,275,1,1,0,0,0,0,3,1,0,1,0,0,0,Turgi
1,20,6,7451,132,1,1,1,0,1,0,1,0,0,1,0,0,0,Zollikofen
1,21,5,7256,157,1,1,1,0,0,1,1,0,0,1,0,0,0,Samstagern
1,23,9,4688,168,1,1,1,0,0,0,1,0,0,1,0,0,0,Waldkirch
1,22,14,12985,718,1,1,1,0,0,0,1,0,0,1,0,0,0,Zürich
1,20,5,8295,831,1,0,1,0,0,0,1,0,0,1,0,0,0,Fraubrunnen
1,21,8,29112,837,0,1,0,0,0,1,1,0,0,1,0,0,0,Zürich
1,19,25,9119,163,0,0,0,0,1,1,3,1,0,1,1,0,0,Biel
1,23,4,8257,413,1,1,0,0,0,0,1,0,0,1,0,0,0,Konolfingen
1,20,8,3882,149,1,0,0,0,1,1,1,0,0,1,0,0,0,Bern
1,24,2,8886,211,1,0,1,0,0,1,1,0,0,1,0,0,0,Wetzikon
1,23,9,8964,143,1,1,1,0,1,0,2,0,1,1,0,0,0,Thun
1,21,26,24371,1928,0,1,0,0,1,1,2,0,1,1,0,0,0,Brittnau
1,25,6,8081,303,1,1,1,0,0,0,7,1,1,1,1,1,0,Balsthal
1,22,9,21242,1004,1,1,1,0,0,0,1,0,0,1,0,0,0,Wyhlen
1,24,3,21368,844,1,1,0,0,0,0,4,0,1,1,0,1,0,Obertshausen
1,26,2,399,55,0,1,0,0,0,0,2,1,0,1,0,0,0,Montreux
1,20,10,14779,447,0,1,0,0,0,0,1,0,0,1,0,0,0,Bern
1,22,4,11305,321,1,1,1,0,0,0,1,0,0,1,0,0,0,Volketswil
1,23,4,58944,3599,1,1,1,0,0,1,3,1,1,1,0,0,0,Olten
1,20,10,22846,656,1,1,1,0,0,1,1,0,0,1,0,0,0,Grenchen
1,25,8,9959,170,1,1,0,0,0,0,2,0,0,1,0,1,0,Bern
1,19,19,9992,697,1,1,0,0,0,1,1,0,0,1,0,0,0,Bern
1,21,1,6496,263,1,0,0,0,0,1,1,0,0,1,0,0,0,Castrop-Rauxel
1,20,3,34818,1680,1,0,0,0,0,0,1,0,0,1,0,0,0,Mannheim
1,20,6,9664,268,1,1,0,0,0,1,1,0,0,1,0,0,0,Klettgau
1,20,11,2608,115,1,1,0,0,0,0,1,0,0,1,0,0,0,Lauchringen
1,24,6,190,6,1,0,0,0,0,0,1,0,0,1,0,0,0,Hochdorf
1,26,22,31079,1754,1,1,0,0,0,0,1,0,0,1,0,0,0,Köln
1,22,15,40214,3099,1,1,0,0,0,0,1,0,0,1,0,0,0,Baden
1,23,3,16531,917,1,1,0,0,0,1,1,0,0,1,0,0,0,Bern
1,25,5,26553,1428,1,0,0,0,0,0,1,0,0,1,0,0,0,Mellingen
1,20,13,16341,754,0,0,0,0,0,0,1,0,0,1,0,0,0,Bern
1,25,4,6092,115,0,1,1,0,0,0,1,0,0,1,0,0,0,Malters
1,21,3,646,20,1,0,0,0,0,0,1,0,0,1,0,0,0,Mühlethurnen
1,22,4,15787,643,1,1,0,0,0,0,3,0,1,1,0,0,0,Köln
1,20,4,130,5,1,1,0,0,0,0,1,1,0,0,0,0,0,Besançon
1,23,14,15561,582,0,1,0,0,0,0,3,1,1,1,0,0,0,"Unterseen (Berna, Schweiz)"
1,19,3,19909,1045,1,0,0,0,0,0,1,0,0,1,0,0,0,Büsserach
1,25,20,10553,957,1,1,0,0,0,0,1,0,0,0,0,0,0,Sarajevo
1,24,9,16851,1068,1,1,1,0,0,0,2,0,0,1,1,0,0,Dietikon
1,23,8,38702,945,1,1,0,0,0,1,1,0,0,1,0,0,0,Rüttenen
1,21,23,12443,1301,1,1,1,0,0,0,1,0,0,1,0,0,0,Basel
1,19,16,29916,1725,1,1,0,0,1,1,1,0,0,1,0,0,0,Singen (Hohentwiel)
1,24,11,17097,1188,1,1,1,0,0,1,1,1,0,0,0,0,0,Rumilly
1,20,5,3501,106,1,1,0,0,0,1,1,0,0,1,0,0,0,Galmiz
1,23,9,2642,104,1,1,0,0,0,0,1,1,0,0,0,0,0,Marsannay-la-Côte
1,21,4,9386,245,1,1,0,0,0,0,3,0,1,1,0,0,0,Freiburg im Breisgau
1,21,16,5954,61,0,0,0,0,0,0,1,0,0,1,0,0,0,Heuweiler
1,23,0,4362,217,1,1,1,0,0,0,1,0,0,1,0,0,0,Langenthal
1,21,9,19018,757,1,1,0,0,0,1,2,0,1,1,0,0,0,Solothurn
1,19,9,10165,169,0,0,0,0,0,0,3,1,1,1,0,0,0,Freiburg im Breisgau (Baden-Württemberg)
1,22,5,14885,290,1,1,1,0,0,0,1,0,0,1,0,0,0,Ehingen (Donau)
1,19,4,19957,530,1,1,1,0,0,0,1,0,0,1,0,0,0,Zürich
1,19,3,5021,199,1,1,1,0,0,1,1,0,0,1,0,0,0,Luzern
1,20,5,36179,1484,1,1,1,0,0,1,1,0,0,1,0,0,0,Freiburg im Breisgau
1,22,4,1025,14,1,0,0,0,0,0,1,1,0,0,0,0,0,Sainte-Croix-en-Plaine
